Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
7,3,15.6,8,4,256,16,5,1.86,6273000.0,0,1,0,0,0,0,0,0,1366,768
2,4,14.0,106,8,256,61,5,1.25,18683000.0,0,1,0,0,0,0,0,1,1920,1080
7,4,12.5,47,8,512,46,5,0.97,34238000.0,0,1,0,0,0,1,1,3,3840,2160
2,3,15.6,37,4,1000,43,5,2.0,5848000.0,1,0,0,0,0,0,0,1,1920,1080
11,1,17.3,102,16,256,80,5,2.9,34493000.0,1,1,0,0,1000,0,0,1,1920,1080
0,3,15.6,56,4,1000,47,5,2.1,7599000.0,1,0,0,0,0,0,0,0,1366,768
4,1,15.6,102,16,512,75,5,2.56,21237420.0,0,1,0,0,0,0,0,1,1920,1080
4,1,15.6,102,8,1000,75,5,2.62,15283000.0,0,0,0,1,0,0,0,1,1920,1080
10,3,15.6,74,4,128,53,5,1.9,8466000.0,0,1,0,0,0,0,0,0,1366,768
11,1,17.3,102,16,256,79,5,2.8,32130000.0,1,1,0,0,1000,0,0,1,1920,1080
7,4,14.0,80,4,256,53,5,1.48,18394000.0,0,1,0,0,0,0,0,1,1920,1080
7,3,15.6,83,6,256,6,5,1.91,10523000.0,0,1,0,0,0,0,0,1,1920,1080
10,0,14.0,59,4,256,53,5,1.74,10693000.0,0,1,0,0,0,1,1,1,1920,1080
2,0,13.3,83,8,256,53,5,1.1,22355000.0,0,1,0,0,0,1,0,1,1920,1080
4,0,15.6,106,8,256,61,5,1.56,17833000.0,0,1,0,0,0,1,0,1,1920,1080
16,3,15.6,55,4,500,47,5,2.1,7599000.0,1,0,0,0,0,0,0,0,1366,768
2,3,15.6,14,4,1000,22,5,2.03,6851000.0,1,0,0,0,0,0,0,0,1366,768
0,3,17.3,83,4,256,98,5,3.0,13685000.0,0,1,0,0,0,0,1,1,1920,1080
4,3,15.6,83,8,256,6,5,2.13,12376000.0,0,1,0,0,0,0,0,1,1920,1080
10,1,15.6,102,16,256,76,5,2.5,18343000.0,0,1,0,0,0,0,1,1,1920,1080
0,3,15.6,37,4,1000,43,5,2.1,5916000.0,1,0,0,0,0,0,0,0,1366,768
11,1,15.6,102,16,256,79,5,2.4,30583000.0,1,1,0,0,1000,0,1,1,1920,1080
0,3,15.6,113,4,1000,44,5,2.1,6179670.0,1,0,0,0,0,0,0,0,1366,768
4,1,15.6,102,8,128,75,5,2.56,18028330.0,1,1,0,0,1000,0,0,1,1920,1080
0,3,17.3,83,8,256,98,5,3.0,14518000.0,0,1,0,0,0,0,1,1,1920,1080
7,3,13.3,83,4,500,61,5,1.49,12818000.0,1,0,0,0,0,0,1,1,1920,1080
8,4,13.0,74,8,256,53,5,1.05,22933000.0,0,1,0,0,0,0,1,1,2160,1440
7,3,17.3,74,6,2000,6,5,2.71,11883000.0,1,0,0,0,0,0,1,1,1920,1080
10,3,15.6,9,4,500,16,4,2.2,5253000.0,1,0,0,0,0,0,0,0,1366,768
16,3,15.6,59,4,500,53,5,2.0,8313000.0,1,0,0,0,0,0,0,0,1366,768
7,3,17.3,83,8,256,69,5,2.5,15691000.0,0,1,0,0,0,0,0,1,1920,1080
4,3,15.6,59,8,1000,53,5,2.3,7803000.0,1,0,0,0,0,0,0,0,1366,768
0,3,15.6,56,4,128,47,5,2.1,7633000.0,0,1,0,0,0,0,0,0,1366,768
11,1,18.4,95,32,512,62,5,4.4,47583000.0,1,1,0,0,1000,0,0,1,1920,1080
10,3,15.6,74,8,128,4,5,1.9,13821000.0,1,1,0,0,1000,0,0,1,1920,1080
7,0,13.3,83,8,256,61,5,1.29,25483000.0,0,1,0,0,0,1,1,3,3840,2160
4,3,15.6,106,16,256,7,2,2.02,17833000.0,1,1,0,0,2000,0,0,1,1920,1080
4,4,13.3,83,8,256,61,5,1.23,23783000.0,0,1,0,0,0,0,0,1,1920,1080
10,0,13.9,106,16,512,61,5,1.4,31433000.0,0,1,0,0,0,1,1,3,3840,2160
16,3,15.6,74,8,128,53,5,2.0,13481000.0,0,1,0,0,0,0,0,0,1366,768
18,3,15.6,83,8,256,98,4,1.95,20383000.0,0,1,0,0,0,0,1,1,1920,1080
4,3,17.3,106,16,512,63,5,2.77,26333000.0,0,1,0,0,0,1,0,1,1920,1080
4,3,15.6,102,16,512,75,5,2.06,40749000.0,0,1,0,0,0,1,0,3,3840,2160
10,1,15.6,77,8,256,75,4,2.4,13243000.0,0,1,0,0,0,0,1,1,1920,1080
0,4,13.3,81,8,256,52,5,1.12,16813000.0,0,1,0,0,0,0,1,1,1920,1080
